cid,account,action,Full name,Shortened name,status,num,type,sent_by,areacode,campaignId,live_time,test_time,update_time,sent_time,reply_time,proxy,phone,tcr_cid,live,tested,updated,lastmsg,lastreply,percent,target,sent,sent_percent,segments_sent,delivered,delivered_percent,received,dnd,bad,spam,landline,err,skipped,replies,responses,autoresponses,received_percent,received_target_percent,dnd_percent,dnd_target_percent,bad_percent,bad_target_percent,spam_percent,spam_target_percent,landline_percent,landline_target_percent,err_percent,err_target_percent,skipped_percent,skipped_target_percent,replies_percent,replies_target_percent
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,1,61817_EmpowerSaves_OH_Text1_Prequalified_Impact,Text1_Prequalified_Impact,Archived,1,SMS,outsourced,614,COP90PK,2025-05-02 17:13:48 GMT-0000,2025-04-30 19:07:16 GMT-0000,2025-05-04 23:00:00 GMT-0000,2025-05-02 17:16:42 GMT-0000,2025-05-05 16:43:08 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-02 17:13:48 GMT-0000,2025-04-30 19:07:16 GMT-0000,2025-05-04 23:00:00 GMT-0000,2025-05-02 17:16:42 GMT-0000,2025-05-05 16:43:08 GMT-0000,73,505,562,111,1144,411,73,6,4,59,50,1,151,0,2,0,4,1,1,1,1,10,12,9,10,0,0,27,30,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,2,61913_EmpowerSaves_OH_Text2_Prequalified_OHCAC,Text2_Prequalified_OHCAC,Archived,2,SMS,outsourced,614,COP90PK,2025-05-02 17:17:47 GMT-0000,2025-05-01 18:11:10 GMT-0000,2025-05-04 23:00:00 GMT-0000,2025-05-02 17:20:28 GMT-0000,2025-05-04 14:40:22 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-02 17:17:47 GMT-0000,2025-05-01 18:11:10 GMT-0000,2025-05-04 23:00:00 GMT-0000,2025-05-02 17:20:28 GMT-0000,2025-05-04 14:40:22 GMT-0000,82,556,625,112,1286,512,82,10,9,66,30,2,113,0,1,0,9,2,2,1,2,11,12,5,5,0,0,18,20,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,3,61914_EmpowerSaves_OH_Text3_Money_Impact,Text3_Money_Impact,Draft,3,SMS,outsourced,614,COP90PK,2025-05-02 16:55:42 GMT-0000,2025-05-02 16:55:39 GMT-0000,2025-05-02 16:55:42 GMT-0000,2025-05-02 16:59:14 GMT-0000,2025-05-02 15:37:09 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-02 16:55:42 GMT-0000,2025-05-02 16:55:39 GMT-0000,2025-05-02 16:55:42 GMT-0000,2025-05-02 16:59:14 GMT-0000,2025-05-02 15:37:09 GMT-0000,63,504,566,112,1159,358,63,7,5,57,122,0,208,0,2,0,5,1,1,1,1,10,11,22,24,0,0,37,41,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,4,61915_EmpowerSaves_OH_Text4_Money_OHCAC,Text4_Money_OHCAC,Draft,4,SMS,outsourced,614,COP90PK,2025-05-02 15:55:00 GMT-0000,2025-05-02 15:19:22 GMT-0000,2025-05-02 15:55:00 GMT-0000,2025-05-02 16:21:38 GMT-0000,2025-05-10 22:36:54 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-02 15:55:00 GMT-0000,2025-05-02 15:19:22 GMT-0000,2025-05-02 15:55:00 GMT-0000,2025-05-02 16:21:38 GMT-0000,2025-05-10 22:36:54 GMT-0000,76,591,624,106,1274,476,76,15,12,25,107,0,148,0,3,0,12,2,3,2,2,4,4,17,18,0,0,24,25,0,0,0,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,6,62069_EmpowerSaves_OH_Text5_Struggling_Impact,Text5_Struggling_Impact,Archived,6,SMS,outsourced,614,COP90PK,2025-05-13 13:45:00 GMT-0000,2025-05-12 16:31:42 GMT-0000,2025-05-15 23:00:00 GMT-0000,2025-05-13 18:19:29 GMT-0000,2025-05-16 14:30:08 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-13 13:45:00 GMT-0000,2025-05-12 16:31:42 GMT-0000,2025-05-15 23:00:00 GMT-0000,2025-05-13 18:19:29 GMT-0000,2025-05-16 14:30:08 GMT-0000,87,500,500,100,1019,433,87,10,5,9,21,0,67,0,5,0,5,2,2,1,1,2,2,4,4,0,0,13,13,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,7,62070_EmpowerSaves_OH_Text6_Savings_Impact,Text6_Savings_Impact,Archived,7,SMS,outsourced,614,COP90PK,2025-05-13 13:45:00 GMT-0000,2025-05-12 16:37:41 GMT-0000,2025-05-15 23:00:00 GMT-0000,2025-05-13 18:20:10 GMT-0000,2025-05-25 12:43:56 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-13 13:45:00 GMT-0000,2025-05-12 16:37:41 GMT-0000,2025-05-15 23:00:00 GMT-0000,2025-05-13 18:20:10 GMT-0000,2025-05-25 12:43:56 GMT-0000,92,503,503,100,1527,463,92,6,6,11,1,0,40,0,0,0,6,1,1,1,1,2,2,0,0,0,0,8,8,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,5,62071_EmpowerSaves_OH_Text7_Struggling_OHCAC,Text7_Struggling_OHCAC,Archived,5,SMS,outsourced,614,COP90PK,2025-05-13 13:45:00 GMT-0000,2025-05-12 16:26:58 GMT-0000,2025-05-15 23:00:00 GMT-0000,2025-05-13 18:20:02 GMT-0000,2025-05-21 11:54:50 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-13 13:45:00 GMT-0000,2025-05-12 16:26:58 GMT-0000,2025-05-15 23:00:00 GMT-0000,2025-05-13 18:20:02 GMT-0000,2025-05-21 11:54:50 GMT-0000,95,551,551,100,1140,524,95,12,10,6,7,0,27,0,2,0,10,2,2,2,2,1,1,1,1,0,0,5,5,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,8,62072_EmpowerSaves_OH_Text8_Savings_OHCAC,Text8_Savings_OHCAC,Archived,8,SMS,outsourced,614,COP90PK,2025-05-13 13:45:00 GMT-0000,2025-05-12 16:42:24 GMT-0000,2025-05-15 23:00:00 GMT-0000,2025-05-13 18:23:35 GMT-0000,2025-05-15 15:57:57 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-13 13:45:00 GMT-0000,2025-05-12 16:42:24 GMT-0000,2025-05-15 23:00:00 GMT-0000,2025-05-13 18:23:35 GMT-0000,2025-05-15 15:57:57 GMT-0000,94,589,588,100,1821,555,94,18,15,9,7,0,33,0,3,0,15,3,3,3,3,2,2,1,1,0,0,6,6,0,0,1,1
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,12,62253_EmpowerSaves_OH_Text9_Struggling_Impact,Text9_Struggling_Impact,Archived,12,SMS,outsourced,614,COP90PK,2025-05-28 14:57:28 GMT-0000,2025-05-27 16:07:23 GMT-0000,2025-05-30 23:00:00 GMT-0000,2025-05-28 15:02:37 GMT-0000,2025-05-28 15:35:02 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-28 14:57:28 GMT-0000,2025-05-27 16:07:23 GMT-0000,2025-05-30 23:00:00 GMT-0000,2025-05-28 15:02:37 GMT-0000,2025-05-28 15:35:02 GMT-0000,94,476,482,101,974,451,94,6,4,4,1,0,31,0,2,0,4,1,1,1,1,1,1,0,0,0,0,6,7,0,0,0,0
c_zjtlzwbdahbqh4ptde,Ohio Partners for Affordable Energy,9,62254_EmpowerSaves_OH_Text10_Relief_Impact,Text10_Relief_Impact,Archived,9,SMS,outsourced,614,COP90PK,2025-05-28 14:45:00 GMT-0000,2025-05-27 15:57:21 GMT-0000,2025-05-30 23:00:00 GMT-0000,2025-05-28 15:00:24 GMT-0000,2025-05-29 00:19:37 GMT-0000,"1,614,681,688,216,140,000,000","1,614,681,688,216,140,000,000",COP90PK,2025-05-28 14:45:00 GMT-0000,2025-05-27 15:57:21 GMT-0000,2025-05-30 23:00:00 GMT-0000,2025-05-28 15:00:24 GMT-0000,2025-05-29 00:19:37 GMT-0000,91,465,471,101,1915,427,91,15,12,4,1,0,44,0,3,0,11,3,3,3,3,1,1,0,0,0,0,9,9,0,0,1,1
