cid,action,Full name,Shortened name,account,type,status,sent_time,sent,delivered,received,dnd,bad,spam,landline,err,skipped,replies,responses,delivered_percent,replies_percent
c_zjtlzwbdahbqh4ptde,1,61817_EmpowerSaves_OH_Text1_Prequalified_Impact,Text1_Prequalified_Impact,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-02 17:16:42 GMT-0000,562,411,6,4,59,50,1,151,0,2,0,73,0
c_zjtlzwbdahbqh4ptde,2,61913_EmpowerSaves_OH_Text2_Prequalified_OHCAC,Text2_Prequalified_OHCAC,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-02 17:20:28 GMT-0000,625,512,10,9,66,30,2,113,0,1,0,82,0
c_zjtlzwbdahbqh4ptde,3,61914_EmpowerSaves_OH_Text3_Money_Impact,Text3_Money_Impact,Ohio Partners for Affordable Energy,SMS,Draft,2025-05-02 16:59:14 GMT-0000,566,358,7,5,57,122,0,208,0,2,0,63,0
c_zjtlzwbdahbqh4ptde,4,61915_EmpowerSaves_OH_Text4_Money_OHCAC,Text4_Money_OHCAC,Ohio Partners for Affordable Energy,SMS,Draft,2025-05-02 16:21:38 GMT-0000,624,476,15,12,25,107,0,148,0,3,0,76,0
c_zjtlzwbdahbqh4ptde,6,62069_EmpowerSaves_OH_Text5_Struggling_Impact,Text5_Struggling_Impact,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-13 18:19:29 GMT-0000,500,433,10,5,9,21,0,67,0,5,0,87,1
c_zjtlzwbdahbqh4ptde,7,62070_EmpowerSaves_OH_Text6_Savings_Impact,Text6_Savings_Impact,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-13 18:20:10 GMT-0000,503,463,6,6,11,1,0,40,0,0,0,92,0
c_zjtlzwbdahbqh4ptde,5,62071_EmpowerSaves_OH_Text7_Struggling_OHCAC,Text7_Struggling_OHCAC,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-13 18:20:02 GMT-0000,551,524,12,10,6,7,0,27,0,2,0,95,0
c_zjtlzwbdahbqh4ptde,8,62072_EmpowerSaves_OH_Text8_Savings_OHCAC,Text8_Savings_OHCAC,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-13 18:23:35 GMT-0000,588,555,18,15,9,7,0,33,0,3,0,94,1
c_zjtlzwbdahbqh4ptde,12,62253_EmpowerSaves_OH_Text9_Struggling_Impact,Text9_Struggling_Impact,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-28 15:02:37 GMT-0000,482,451,6,4,4,1,0,31,0,2,0,94,0
c_zjtlzwbdahbqh4ptde,9,62254_EmpowerSaves_OH_Text10_Relief_Impact,Text10_Relief_Impact,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-28 15:00:24 GMT-0000,471,427,15,12,4,1,0,44,0,3,0,91,1
c_zjtlzwbdahbqh4ptde,11,62255_EmpowerSaves_OH_Text11_Struggling_OHCAC,Text11_Struggling_OHCAC,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-28 14:55:07 GMT-0000,557,537,14,11,4,2,0,20,0,3,0,96,1
c_zjtlzwbdahbqh4ptde,10,62256_EmpowerSaves_OH_Text12_Relief_OHCAC,Text12_Relief_OHCAC,Ohio Partners for Affordable Energy,SMS,Archived,2025-05-28 15:06:05 GMT-0000,529,511,14,9,6,1,0,18,0,5,0,97,1
