cluster,estimated_income,household_size,total_energy_burden,living_area_sqft,house_age,campaign_count,email_count,exposure_days,msgtype_informational_count,msgtype_motivational_struggle_count,msgtype_personalized_qualified_count,msgtype_relief_reassurance_count,msgtype_savings_financial_count,msgtype_urgency_deadline_count
0,28898.809523809523,4.2976190476190474,11.32816756476328,1475.3214285714287,69.19047619047619,16.5,16.5,120.27380952380952,1.8928571428571428,8.857142857142858,9.726190476190476,0.2857142857142857,10.452380952380953,4.154761904761905
1,20017.345050878816,3.9074930619796486,16.21926886834069,1296.6609620721554,74.04440333024976,12.0,12.0,159.0,2.0,7.0,4.0,1.0,8.0,2.0
2,38157.30337078652,4.606741573033708,7.869170059330599,1530.7539325842697,68.32584269662921,36.0,36.0,159.0,5.0,21.0,19.0,2.0,20.0,11.0
3,23391.369047619046,4.2369047619047615,11.901908413797843,1279.490476190476,77.6595238095238,20.0,20.0,159.0,2.0,9.0,11.0,1.0,15.0,3.0
4,26161.971830985916,4.073943661971831,13.544724980319629,1295.2640845070423,75.30985915492958,1.5774647887323943,1.5774647887323943,8.78169014084507,0.0,0.035211267605633804,1.5422535211267605,0.0,1.5774647887323943,0.0
5,7500.0,4.021505376344086,60.0683870967742,1382.5591397849462,88.58064516129032,14.193548387096774,14.193548387096774,140.3548387096774,2.0,9.193548387096774,6.193548387096774,1.0,8.0,4.193548387096774
6,7633.333333333333,3.8733333333333335,43.371952,1172.2533333333333,83.08666666666667,20.0,20.0,159.0,2.2533333333333334,9.253333333333334,11.0,1.0,14.24,3.506666666666667
7,34512.98701298701,4.347652347652348,8.243367122305305,1179.95004995005,75.10789210789211,20.0,20.0,159.0,3.0,10.0,11.0,1.0,12.0,5.0
8,12500.0,2.0,18.62974285714285,1412.0,1797.5,6.5,6.5,79.5,1.0,3.5,2.5,0.5,4.5,1.0
9,34043.715846994535,4.648907103825136,11.529127285107123,1543.0437158469945,78.55601092896175,16.0,16.0,125.0,2.0,11.0,8.0,1.0,8.0,6.0
