cluster,engaged,rate,n,avg_confidence
0,34,0.016361886429258902,2078,0.9938433760053726
1,26,0.031862745098039214,816,0.9931903339287854
2,1,0.003703703703703704,270,0.9825027843347437
3,62,0.023212280044926994,2671,0.9962058759523696
4,6,0.02120141342756184,283,0.9584674146788812
5,10,0.014970059880239521,668,0.985343482437438
6,4,0.05263157894736842,76,0.9671380609690556
7,1,0.07692307692307693,13,0.996571795675801
8,6,0.07317073170731707,82,0.9769023206458376
9,4,0.03305785123966942,121,0.9682466778464739
